question_id,raw_subject,raw_topic,canonical_subject,needs_review,rule
0.1,Compiler Design,Compiler Design,Compiler Design,False,canonical form
AptitudeDataset::1,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::2,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::3,Quantitative Aptitude,General Aptitude,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::4,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::5,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::6,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::7,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::8,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::9,Quantitative Aptitude,Number Theory,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::10,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::12,Quantitative Aptitude,Mensuration,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::13,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::14,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::15,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::18,Quantitative Aptitude,Number Theory,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::19,Quantitative Aptitude,Number Theory,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::20,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::21,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::22,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::23,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::24,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::25,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::26,Quantitative Aptitude,General Aptitude,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::27,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::28,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::29,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::30,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::31,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::32,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::33,Quantitative Aptitude,General Aptitude,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::34,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::35,Quantitative Aptitude,Number Theory,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::36,Quantitative Aptitude,Number Theory,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::37,Quantitative Aptitude,Number Theory,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::38,Quantitative Aptitude,Number Theory,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::39,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::40,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::41,Quantitative Aptitude,General Aptitude,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::42,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::43,Quantitative Aptitude,Number Theory,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::44,Quantitative Aptitude,Number Theory,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::45,Quantitative Aptitude,Mensuration,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::46,Quantitative Aptitude,General Aptitude,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::47,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::48,Quantitative Aptitude,General Aptitude,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::49,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::50,Quantitative Aptitude,General Aptitude,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::51,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::52,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::53,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::54,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::55,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::56,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
AptitudeDataset::57,Quantitative Aptitude,Arithmetic,General Aptitude,False,already a topic inside General Aptitude (n=605)
