resume_id,filename,category,model_a,model_b,rbo,jaccard_at_10,overlap_at_10
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.3879,0.1765,3
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.1339,0.1765,3
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.2207,0.1765,3
ACCOUNTANT/13701259.pdf,13701259.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.212,0.1111,2
ACCOUNTANT/13701259.pdf,13701259.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.212,0.1111,2
ACCOUNTANT/13701259.pdf,13701259.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.8526,1.0,10
ACCOUNTANT/28939941.pdf,28939941.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.4586,0.4286,6
ACCOUNTANT/28939941.pdf,28939941.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.2385,0.25,4
ACCOUNTANT/28939941.pdf,28939941.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.3568,0.3333,5
ADVOCATE/17911230.pdf,17911230.pdf,ADVOCATE,ConFit v2,ColBERT,0.1177,0.1765,3
ADVOCATE/17911230.pdf,17911230.pdf,ADVOCATE,ConFit v2,CrossEncoder,0.1095,0.1765,3
ADVOCATE/17911230.pdf,17911230.pdf,ADVOCATE,ColBERT,CrossEncoder,0.6449,0.8182,9
ADVOCATE/19063156.pdf,19063156.pdf,ADVOCATE,ConFit v2,ColBERT,0.4503,0.25,4
ADVOCATE/19063156.pdf,19063156.pdf,ADVOCATE,ConFit v2,CrossEncoder,0.2524,0.1765,3
ADVOCATE/19063156.pdf,19063156.pdf,ADVOCATE,ColBERT,CrossEncoder,0.3508,0.4286,6
ADVOCATE/44115326.pdf,44115326.pdf,ADVOCATE,ConFit v2,ColBERT,0.2366,0.3333,5
ADVOCATE/44115326.pdf,44115326.pdf,ADVOCATE,ConFit v2,CrossEncoder,0.1068,0.1111,2
ADVOCATE/44115326.pdf,44115326.pdf,ADVOCATE,ColBERT,CrossEncoder,0.1563,0.1765,3
AGRICULTURE/15546686.pdf,15546686.pdf,AGRICULTURE,ConFit v2,ColBERT,0.6587,0.4286,6
AGRICULTURE/15546686.pdf,15546686.pdf,AGRICULTURE,ConFit v2,CrossEncoder,0.5136,0.4286,6
AGRICULTURE/15546686.pdf,15546686.pdf,AGRICULTURE,ColBERT,CrossEncoder,0.6946,0.8182,9
AGRICULTURE/16849128.pdf,16849128.pdf,AGRICULTURE,ConFit v2,ColBERT,0.2353,0.1765,3
AGRICULTURE/16849128.pdf,16849128.pdf,AGRICULTURE,ConFit v2,CrossEncoder,0.3158,0.3333,5
AGRICULTURE/16849128.pdf,16849128.pdf,AGRICULTURE,ColBERT,CrossEncoder,0.3662,0.4286,6
AGRICULTURE/37201447.pdf,37201447.pdf,AGRICULTURE,ConFit v2,ColBERT,0.5908,0.4286,6
AGRICULTURE/37201447.pdf,37201447.pdf,AGRICULTURE,ConFit v2,CrossEncoder,0.4152,0.25,4
AGRICULTURE/37201447.pdf,37201447.pdf,AGRICULTURE,ColBERT,CrossEncoder,0.4716,0.4286,6
APPAREL/13418452.pdf,13418452.pdf,APPAREL,ConFit v2,ColBERT,0.3938,0.3333,5
APPAREL/13418452.pdf,13418452.pdf,APPAREL,ConFit v2,CrossEncoder,0.4546,0.3333,5
APPAREL/13418452.pdf,13418452.pdf,APPAREL,ColBERT,CrossEncoder,0.4689,0.3333,5
APPAREL/56151548.pdf,56151548.pdf,APPAREL,ConFit v2,ColBERT,0.39,0.3333,5
APPAREL/56151548.pdf,56151548.pdf,APPAREL,ConFit v2,CrossEncoder,0.4312,0.3333,5
APPAREL/56151548.pdf,56151548.pdf,APPAREL,ColBERT,CrossEncoder,0.8466,1.0,10
APPAREL/91026230.pdf,91026230.pdf,APPAREL,ConFit v2,ColBERT,0.3783,0.25,4
APPAREL/91026230.pdf,91026230.pdf,APPAREL,ConFit v2,CrossEncoder,0.0511,0.0,0
APPAREL/91026230.pdf,91026230.pdf,APPAREL,ColBERT,CrossEncoder,0.2109,0.25,4
ARTS/14248724.pdf,14248724.pdf,ARTS,ConFit v2,ColBERT,0.5917,0.3333,5
ARTS/14248724.pdf,14248724.pdf,ARTS,ConFit v2,CrossEncoder,0.4687,0.25,4
ARTS/14248724.pdf,14248724.pdf,ARTS,ColBERT,CrossEncoder,0.606,0.5385,7
ARTS/32794700.pdf,32794700.pdf,ARTS,ConFit v2,ColBERT,0.3631,0.4286,6
ARTS/32794700.pdf,32794700.pdf,ARTS,ConFit v2,CrossEncoder,0.2295,0.3333,5
ARTS/32794700.pdf,32794700.pdf,ARTS,ColBERT,CrossEncoder,0.3181,0.5385,7
ARTS/36758947.pdf,36758947.pdf,ARTS,ConFit v2,ColBERT,0.4571,0.25,4
ARTS/36758947.pdf,36758947.pdf,ARTS,ConFit v2,CrossEncoder,0.3033,0.25,4
ARTS/36758947.pdf,36758947.pdf,ARTS,ColBERT,CrossEncoder,0.4827,0.4286,6
AUTOMOBILE/11257723.pdf,11257723.pdf,AUTOMOBILE,ConFit v2,ColBERT,0.2886,0.3333,5
AUTOMOBILE/11257723.pdf,11257723.pdf,AUTOMOBILE,ConFit v2,CrossEncoder,0.0775,0.0526,1
AUTOMOBILE/11257723.pdf,11257723.pdf,AUTOMOBILE,ColBERT,CrossEncoder,0.0736,0.0526,1
AUTOMOBILE/11797122.pdf,11797122.pdf,AUTOMOBILE,ConFit v2,ColBERT,0.0811,0.0526,1
