model,metric,n,mean,median,std,ci95_low,ci95_high
ColBERT,semantic_alignment,304,0.7699,0.769711,0.035613,0.765897,0.773904
ColBERT,n_recommendations,304,15.0,15.0,0.0,15.0,15.0
ColBERT,avg_score,304,0.74309,0.75545,0.071968,0.735,0.75118
ColBERT,top5_avg,304,0.813584,0.8248,0.050586,0.807898,0.819271
ColBERT,top5_vs_next5_gap,304,0.085509,0.0775,0.037999,0.081237,0.08978
ConFit v2,semantic_alignment,304,0.759039,0.759791,0.039886,0.754555,0.763523
ConFit v2,n_recommendations,304,15.0,15.0,0.0,15.0,15.0
ConFit v2,avg_score,304,0.800638,0.79945,0.018625,0.798544,0.802732
ConFit v2,top5_avg,304,0.810699,0.8087,0.018067,0.808668,0.81273
ConFit v2,top5_vs_next5_gap,304,0.01224,0.0115,0.004147,0.011774,0.012706
CrossEncoder,semantic_alignment,304,0.762794,0.76394,0.036554,0.758685,0.766903
CrossEncoder,n_recommendations,304,15.0,15.0,0.0,15.0,15.0
CrossEncoder,avg_score,304,0.316725,0.28045,0.091209,0.306472,0.326978
CrossEncoder,top5_avg,304,0.362237,0.30315,0.129603,0.347668,0.376806
CrossEncoder,top5_vs_next5_gap,304,0.058976,0.03095,0.059368,0.052302,0.06565
Hybrid (RRF),semantic_alignment,304,0.768755,0.76771,0.036102,0.764697,0.772813
Hybrid (RRF),n_recommendations,304,15.0,15.0,0.0,15.0,15.0
Hybrid (RRF),avg_score,304,0.680185,0.67675,0.056401,0.673845,0.686525
Hybrid (RRF),top5_avg,304,0.89943,0.92095,0.066199,0.891989,0.906872
Hybrid (RRF),top5_vs_next5_gap,304,0.231718,0.2467,0.072636,0.223553,0.239883
