model_a,model_b,metric,n,mean,median,std,ci95_low,ci95_high
ColBERT,CrossEncoder,rbo,304,0.344204,0.30165,0.195431,0.322235,0.366173
ColBERT,CrossEncoder,jaccard_at_10,304,0.328808,0.25,0.207179,0.305518,0.352097
ColBERT,CrossEncoder,overlap_at_10,304,4.621711,4.0,2.141448,4.380982,4.862439
ColBERT,Hybrid (RRF),rbo,304,0.57323,0.5861,0.122466,0.559463,0.586997
ColBERT,Hybrid (RRF),jaccard_at_10,304,0.574265,0.5385,0.152369,0.557137,0.591394
ColBERT,Hybrid (RRF),overlap_at_10,304,7.177632,7.0,1.229999,7.039363,7.3159
ConFit v2,ColBERT,rbo,304,0.337206,0.32675,0.143281,0.321099,0.353313
ConFit v2,ColBERT,jaccard_at_10,304,0.281949,0.25,0.141079,0.26609,0.297808
ConFit v2,ColBERT,overlap_at_10,304,4.220395,4.0,1.643302,4.035665,4.405124
ConFit v2,CrossEncoder,rbo,304,0.239065,0.2092,0.142016,0.223101,0.25503
ConFit v2,CrossEncoder,jaccard_at_10,304,0.2125,0.1765,0.127126,0.198209,0.226791
ConFit v2,CrossEncoder,overlap_at_10,304,3.335526,3.0,1.640832,3.151074,3.519978
ConFit v2,Hybrid (RRF),rbo,304,0.474984,0.46615,0.115236,0.462029,0.487938
ConFit v2,Hybrid (RRF),jaccard_at_10,304,0.44421,0.4286,0.143483,0.428081,0.46034
ConFit v2,Hybrid (RRF),overlap_at_10,304,6.013158,6.0,1.409477,5.854713,6.171602
CrossEncoder,Hybrid (RRF),rbo,304,0.436412,0.42415,0.147765,0.419801,0.453023
CrossEncoder,Hybrid (RRF),jaccard_at_10,304,0.469158,0.4286,0.174494,0.449543,0.488774
CrossEncoder,Hybrid (RRF),overlap_at_10,304,6.190789,6.0,1.673847,6.002626,6.378953
