resume_id,filename,category,model,semantic_alignment,n_recommendations,avg_score,top5_avg,top5_vs_next5_gap
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,ConFit v2,0.71305,15,0.8144,0.8212,0.0089
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,ColBERT,0.752272,15,0.8165,0.8685,0.0664
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,CrossEncoder,0.790925,15,0.2889,0.3064,0.0211
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,Hybrid (RRF),0.761028,15,0.7026,0.9673,0.3007
ACCOUNTANT/13701259.pdf,13701259.pdf,ACCOUNTANT,ConFit v2,0.758378,15,0.8144,0.8226,0.0102
ACCOUNTANT/13701259.pdf,13701259.pdf,ACCOUNTANT,ColBERT,0.80439,15,0.7712,0.8374,0.0858
ACCOUNTANT/13701259.pdf,13701259.pdf,ACCOUNTANT,CrossEncoder,0.793924,15,0.259,0.2658,0.0092
ACCOUNTANT/13701259.pdf,13701259.pdf,ACCOUNTANT,Hybrid (RRF),0.80439,15,0.9007,0.9673,0.0685
ACCOUNTANT/28939941.pdf,28939941.pdf,ACCOUNTANT,ConFit v2,0.76422,15,0.8082,0.8175,0.0107
ACCOUNTANT/28939941.pdf,28939941.pdf,ACCOUNTANT,ColBERT,0.767365,15,0.7876,0.8519,0.0803
ACCOUNTANT/28939941.pdf,28939941.pdf,ACCOUNTANT,CrossEncoder,0.787085,15,0.2683,0.285,0.0232
ACCOUNTANT/28939941.pdf,28939941.pdf,ACCOUNTANT,Hybrid (RRF),0.77497,15,0.8012,0.9624,0.0689
ADVOCATE/17911230.pdf,17911230.pdf,ADVOCATE,ConFit v2,0.651606,15,0.7969,0.8052,0.0106
ADVOCATE/17911230.pdf,17911230.pdf,ADVOCATE,ColBERT,0.79643,15,0.6829,0.7786,0.1194
ADVOCATE/17911230.pdf,17911230.pdf,ADVOCATE,CrossEncoder,0.782097,15,0.2532,0.2577,0.0056
ADVOCATE/17911230.pdf,17911230.pdf,ADVOCATE,Hybrid (RRF),0.79643,15,0.8807,0.969,0.0708
ADVOCATE/19063156.pdf,19063156.pdf,ADVOCATE,ConFit v2,0.769748,15,0.8192,0.8282,0.0111
ADVOCATE/19063156.pdf,19063156.pdf,ADVOCATE,ColBERT,0.748145,15,0.7155,0.798,0.1025
ADVOCATE/19063156.pdf,19063156.pdf,ADVOCATE,CrossEncoder,0.750911,15,0.2681,0.2851,0.0215
ADVOCATE/19063156.pdf,19063156.pdf,ADVOCATE,Hybrid (RRF),0.737755,15,0.7566,0.9821,0.1637
ADVOCATE/44115326.pdf,44115326.pdf,ADVOCATE,ConFit v2,0.734552,15,0.7897,0.7966,0.0087
ADVOCATE/44115326.pdf,44115326.pdf,ADVOCATE,ColBERT,0.748475,15,0.8264,0.8634,0.049
ADVOCATE/44115326.pdf,44115326.pdf,ADVOCATE,CrossEncoder,0.734097,15,0.2764,0.2889,0.0168
ADVOCATE/44115326.pdf,44115326.pdf,ADVOCATE,Hybrid (RRF),0.762071,15,0.6788,0.9642,0.3753
AGRICULTURE/15546686.pdf,15546686.pdf,AGRICULTURE,ConFit v2,0.774113,15,0.7819,0.7979,0.0212
AGRICULTURE/15546686.pdf,15546686.pdf,AGRICULTURE,ColBERT,0.779344,15,0.6602,0.7951,0.1753
AGRICULTURE/15546686.pdf,15546686.pdf,AGRICULTURE,CrossEncoder,0.777145,15,0.2577,0.2692,0.0148
AGRICULTURE/15546686.pdf,15546686.pdf,AGRICULTURE,Hybrid (RRF),0.776057,15,0.8526,0.9766,0.0782
AGRICULTURE/16849128.pdf,16849128.pdf,AGRICULTURE,ConFit v2,0.75565,15,0.7993,0.8083,0.0105
AGRICULTURE/16849128.pdf,16849128.pdf,AGRICULTURE,ColBERT,0.776098,15,0.778,0.8416,0.0831
AGRICULTURE/16849128.pdf,16849128.pdf,AGRICULTURE,CrossEncoder,0.791628,15,0.2581,0.2716,0.0167
