model,metric,n,mean,median,std,ci95_low,ci95_high
ColBERT,semantic_alignment,15,0.780413,0.773908,0.028516,0.765982,0.794844
ColBERT,n_recommendations,15,15.0,15.0,0.0,15.0,15.0
ColBERT,avg_score,15,0.774293,0.7712,0.045328,0.751354,0.797232
ColBERT,top5_avg,15,0.840113,0.8526,0.034441,0.822684,0.857543
ColBERT,top5_vs_next5_gap,15,0.07762,0.0752,0.02465,0.065146,0.090094
ConFit v2,semantic_alignment,15,0.758117,0.758378,0.026835,0.744536,0.771697
ConFit v2,n_recommendations,15,15.0,15.0,0.0,15.0,15.0
ConFit v2,avg_score,15,0.812853,0.8144,0.013624,0.805959,0.819748
ConFit v2,top5_avg,15,0.821713,0.8225,0.013651,0.814805,0.828621
ConFit v2,top5_vs_next5_gap,15,0.01002,0.0102,0.002973,0.008515,0.011525
CrossEncoder,semantic_alignment,15,0.772781,0.770872,0.029853,0.757674,0.787889
CrossEncoder,n_recommendations,15,15.0,15.0,0.0,15.0,15.0
CrossEncoder,avg_score,15,0.364827,0.3044,0.111843,0.308226,0.421427
CrossEncoder,top5_avg,15,0.42878,0.3467,0.162592,0.346497,0.511063
CrossEncoder,top5_vs_next5_gap,15,0.077873,0.0603,0.062731,0.046127,0.10962
