resume_id,filename,category,model,semantic_alignment,n_recommendations,avg_score,top5_avg,top5_vs_next5_gap
ACCOUNTANT/10554236.pdf,10554236.pdf,ACCOUNTANT,ConFit v2,0.750223,15,0.7938,0.8039,0.0107
ACCOUNTANT/10554236.pdf,10554236.pdf,ACCOUNTANT,ColBERT,0.773217,15,0.7209,0.8044,0.0907
ACCOUNTANT/10554236.pdf,10554236.pdf,ACCOUNTANT,CrossEncoder,0.734894,15,0.2773,0.3083,0.0406
ACCOUNTANT/10674770.pdf,10674770.pdf,ACCOUNTANT,ConFit v2,0.774795,15,0.8211,0.8313,0.0113
ACCOUNTANT/10674770.pdf,10674770.pdf,ACCOUNTANT,ColBERT,0.799696,15,0.8099,0.8526,0.0406
ACCOUNTANT/10674770.pdf,10674770.pdf,ACCOUNTANT,CrossEncoder,0.716396,15,0.5315,0.7409,0.2205
ACCOUNTANT/11163645.pdf,11163645.pdf,ACCOUNTANT,ConFit v2,0.77634,15,0.8156,0.8254,0.0122
ACCOUNTANT/11163645.pdf,11163645.pdf,ACCOUNTANT,ColBERT,0.794662,15,0.7115,0.7702,0.0727
ACCOUNTANT/11163645.pdf,11163645.pdf,ACCOUNTANT,CrossEncoder,0.782089,15,0.3019,0.3467,0.0603
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,ConFit v2,0.71305,15,0.8144,0.8212,0.0089
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,ColBERT,0.752272,15,0.8165,0.8685,0.0664
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,CrossEncoder,0.790925,15,0.2889,0.3064,0.0211
ACCOUNTANT/12065211.pdf,12065211.pdf,ACCOUNTANT,ConFit v2,0.764476,15,0.827,0.8342,0.0085
ACCOUNTANT/12065211.pdf,12065211.pdf,ACCOUNTANT,ColBERT,0.764794,15,0.8434,0.8803,0.0477
ACCOUNTANT/12065211.pdf,12065211.pdf,ACCOUNTANT,CrossEncoder,0.772834,15,0.3044,0.3294,0.0311
ACCOUNTANT/12202337.pdf,12202337.pdf,ACCOUNTANT,ConFit v2,0.720275,15,0.8097,0.8209,0.0117
ACCOUNTANT/12202337.pdf,12202337.pdf,ACCOUNTANT,ColBERT,0.742664,15,0.7255,0.8035,0.1056
ACCOUNTANT/12202337.pdf,12202337.pdf,ACCOUNTANT,CrossEncoder,0.742664,15,0.2588,0.2661,0.0099
ACCOUNTANT/12338274.pdf,12338274.pdf,ACCOUNTANT,ConFit v2,0.795446,15,0.7923,0.8026,0.0111
ACCOUNTANT/12338274.pdf,12338274.pdf,ACCOUNTANT,ColBERT,0.790704,15,0.7297,0.8095,0.1031
ACCOUNTANT/12338274.pdf,12338274.pdf,ACCOUNTANT,CrossEncoder,0.820602,15,0.2658,0.2741,0.0108
ACCOUNTANT/12442909.pdf,12442909.pdf,ACCOUNTANT,ConFit v2,0.728749,15,0.8083,0.8131,0.0052
ACCOUNTANT/12442909.pdf,12442909.pdf,ACCOUNTANT,ColBERT,0.786706,15,0.7231,0.8314,0.1217
ACCOUNTANT/12442909.pdf,12442909.pdf,ACCOUNTANT,CrossEncoder,0.762564,15,0.3139,0.3886,0.1021
ACCOUNTANT/12780508.pdf,12780508.pdf,ACCOUNTANT,ConFit v2,0.742314,15,0.8214,0.828,0.0057
ACCOUNTANT/12780508.pdf,12780508.pdf,ACCOUNTANT,ColBERT,0.765355,15,0.8303,0.8839,0.0595
ACCOUNTANT/12780508.pdf,12780508.pdf,ACCOUNTANT,CrossEncoder,0.770872,15,0.3833,0.472,0.1194
ACCOUNTANT/12802330.pdf,12802330.pdf,ACCOUNTANT,ConFit v2,0.739303,15,0.7957,0.804,0.0087
ACCOUNTANT/12802330.pdf,12802330.pdf,ACCOUNTANT,ColBERT,0.761052,15,0.8001,0.8588,0.0599
ACCOUNTANT/12802330.pdf,12802330.pdf,ACCOUNTANT,CrossEncoder,0.766717,15,0.4671,0.5246,0.0721
