resume_id,filename,category,model_a,model_b,rbo,jaccard_at_10,overlap_at_10
ACCOUNTANT/10554236.pdf,10554236.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.4054,0.25,4
ACCOUNTANT/10554236.pdf,10554236.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.1852,0.25,4
ACCOUNTANT/10554236.pdf,10554236.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.187,0.25,4
ACCOUNTANT/10674770.pdf,10674770.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.1801,0.25,4
ACCOUNTANT/10674770.pdf,10674770.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.0999,0.0526,1
ACCOUNTANT/10674770.pdf,10674770.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.154,0.1111,2
ACCOUNTANT/11163645.pdf,11163645.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.4113,0.3333,5
ACCOUNTANT/11163645.pdf,11163645.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.1318,0.1111,2
ACCOUNTANT/11163645.pdf,11163645.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.2968,0.3333,5
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.3879,0.1765,3
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.1339,0.1765,3
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.2207,0.1765,3
ACCOUNTANT/12065211.pdf,12065211.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.3641,0.4286,6
ACCOUNTANT/12065211.pdf,12065211.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.3499,0.1765,3
ACCOUNTANT/12065211.pdf,12065211.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.2445,0.1111,2
ACCOUNTANT/12202337.pdf,12202337.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.478,0.25,4
ACCOUNTANT/12202337.pdf,12202337.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.4798,0.25,4
ACCOUNTANT/12202337.pdf,12202337.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.8861,1.0,10
ACCOUNTANT/12338274.pdf,12338274.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.3479,0.3333,5
ACCOUNTANT/12338274.pdf,12338274.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.3235,0.3333,5
ACCOUNTANT/12338274.pdf,12338274.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.542,0.5385,7
ACCOUNTANT/12442909.pdf,12442909.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.371,0.1111,2
ACCOUNTANT/12442909.pdf,12442909.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.0656,0.0526,1
ACCOUNTANT/12442909.pdf,12442909.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.1315,0.1765,3
ACCOUNTANT/12780508.pdf,12780508.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.1611,0.1765,3
ACCOUNTANT/12780508.pdf,12780508.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.1042,0.1765,3
ACCOUNTANT/12780508.pdf,12780508.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.1659,0.1111,2
ACCOUNTANT/12802330.pdf,12802330.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.4137,0.3333,5
ACCOUNTANT/12802330.pdf,12802330.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.0449,0.0526,1
ACCOUNTANT/12802330.pdf,12802330.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.056,0.0526,1
ACCOUNTANT/13072019.pdf,13072019.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.2465,0.1765,3
ACCOUNTANT/13072019.pdf,13072019.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.1634,0.3333,5
ACCOUNTANT/13072019.pdf,13072019.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.3682,0.1765,3
ACCOUNTANT/13130984.pdf,13130984.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.3058,0.25,4
ACCOUNTANT/13130984.pdf,13130984.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.1479,0.0526,1
ACCOUNTANT/13130984.pdf,13130984.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.0614,0.0526,1
ACCOUNTANT/13294301.pdf,13294301.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.2917,0.25,4
ACCOUNTANT/13294301.pdf,13294301.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.153,0.1765,3
ACCOUNTANT/13294301.pdf,13294301.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.521,0.6667,8
ACCOUNTANT/13491889.pdf,13491889.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.4958,0.3333,5
ACCOUNTANT/13491889.pdf,13491889.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.0821,0.0526,1
ACCOUNTANT/13491889.pdf,13491889.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.1759,0.25,4
ACCOUNTANT/13701259.pdf,13701259.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.212,0.1111,2
ACCOUNTANT/13701259.pdf,13701259.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.212,0.1111,2
ACCOUNTANT/13701259.pdf,13701259.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.8526,1.0,10
