Title,Company,Domain,Job Description,Skills,Experience Level,Salary,Location,Work Type,End Date,Source
Software Engineer (New Grads) - New York,Giga,AI / ML / Data Science,"About GigaGiga has recently raised a $61M Series A and has several paying customers, including DoorDash. We’re building the next generation of customer experience — real-time AI agents that can understand emotion, resolve issues instantly, and scale across the world’s largest enterprises.It’s an exciting inflection point for the company. While we have been successful, we have larger ambitions. Our goal is to become the go-to AI platform for all enterprise automation, powered by our voice superintelligence. To achieve this, we need more great engineers.The work affects millions of people every day and our engineers have autonomy and make true impact. This opportunity is unique because we have brilliant founders, have found commercial success, and see a clear path to becoming a generational company. Some further info about us:Voice AI startup Giga raises $61M Series ADoorDash and Giga PartnershipGiga builds AI agents trusted by the largest B2C companies in the world. Industry leaders lik","C, Go, Rust, R, Unity, ROS",Lead/Principal (8+ yrs),$61,"New York, Ny",Onsite,2026-05-02,LinkedIn
"Software Engineer, Backend",Tinder,Backend / API,"Our MissionLaunched in 2012, Tinder® revolutionized how people meet, growing from 1 match to one billion matches in just two years. This rapid growth demonstrates its ability to fulfill a fundamental human need: real connection. Today, the app has been downloaded over 630 million times, leading to over 97 billion matches, serving approximately 50 million users per month in 190 countries and 45+ languages - a scale unmatched by any other app in the category. In 2024, Tinder won four Effie Awards for its first-ever global brand campaign, “It Starts with a Swipe”™""Our Values One Team, One DreamWe work hand-in-hand, building Tinder for our members. We succeed together when we work collaboratively across functions, teams, and time zones, and think outside the box to achieve our company vision and mission. Own ItWe take accountability and strive to make a positive impact in all aspects of our business, through ownership, innovation, and a commitment to excellence. Never Stop LearningWe culti","C, Go, R, Excel, ROS",Lead/Principal (8+ yrs),Not Disclosed,"Los Angeles, Ca",Onsite,2026-05-20,LinkedIn
Software Engineer 1,Intuit,Frontend / Web,"OverviewThis role is ideal for those at the start of their professional journey, with less than two years of industry experience who are eager to learn, grow, and make an immediate impact. As this is a general posting, we’ll align you with a team based on your skills, interests, and career aspirations to set you up for success.We're cultivating a culture that prioritizes innovators, risk-takers, and imaginative thinkers. You’ll help create solutions that transform how millions of consumers and small businesses manage their finances in cloud, platform, mobile, and SaaS environments. Working in a culture that embraces experimentation and rapid prototyping, you’ll collaborate closely with customers and cross-functional teams, turning ideas into real impact while building the skills to launch a rewarding career.ResponsibilitiesFrontend Engineering:Experience developing scalable, responsive, and dynamic web-based applicationsFamiliarity with modern frontend tools and frameworks such as Reac","C, Scala, R, ROS",Not Specified,Not Disclosed,"New York, Ny",Onsite,2026-05-08,LinkedIn
Software Engineer (L4) - Personalization,Netflix,AI / ML / Data Science,"At Netflix, our mission is to entertain the world. Together, we are writing the next episode - pushing the boundaries of storytelling, global fandom and making the unimaginable a reality. We are a dream team obsessed with the uncomfortable excitement of discovering what happens when you merge creativity, intuition and cutting-edge technology. Come be a part of what’s next.The personalization data engineering team is responsible for building large, web-scale datasets used for enabling and improving member experience. These datasets are integral inputs to our machine learning algorithms, which drive the exceptional experiences our members enjoy.About The RoleGiven the size, complexity and criticality of our datasets, we are looking for a Software Engineer with a deep analytical mindset and experience with modern distributed systems. As a member of this team, you will drive innovation in big data processing by contributing and adding to the team’s suite of data products and frameworks. Yo","C, Go, R, Machine Learning",Not Specified,Not Disclosed,United States,Onsite,2026-05-11,LinkedIn
"Software Engineer, Rider",Lyft,Game / AR / VR,"At Lyft, our purpose is to serve and connect. We aim to achieve this by cultivating a work environment where all team members belong and have the opportunity to thrive.Lyft is looking for software engineers from a scope of disciplines. We are growing our team with people who want to build, improve and incorporate technologies that make the lives of our community more enriched. As an engineer at Lyft, you'll collaborate with teams like product, design, data science, analytics, and operations on code that empower us to iterate quickly, while focusing on delighting our passengers and drivers.The Rider organization is focused on building a seamless, best-in-class rideshare experience for riders. From the foundational functionality of requesting a ride to the tailored interactions with your flight, we sweat the small stuff to help make Lyft the best transportation solution. As a Software Engineer on the Rider Team, you will work hand in hand with various teams across Lyft, fostering collabo","C, R, Unity, ROS",Not Specified,Not Disclosed,"New York, Ny",Onsite,2026-05-19,LinkedIn
Software Engineer & Computer Science - Recent Grad/Full Time,Honeywell,Game / AR / VR,"Job DescriptionThe future is what you make it.When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers, and doers who make the things that make the future. That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars. Working at Honeywell isn’t just about developing cool things. That’s why our employees enjoy access to dynamic career opportunities across different fields and industries. Are you ready to help us make the future? About The RoleJoin a team that designs, develops and integrates highly complex software applications within Honeywell. You will be a dynamic and integral member of a team to achieve the completion of goals. You will also generate innovative solutions in work situations; trying different and novel ways to deal with problems and opportunities. Use your skillset to provide value added software features to our products for our customer","C, Go, R, ROS",Not Specified,Not Disclosed,United States,Onsite,2026-05-27,LinkedIn
Software Engineer - New Grad,Scale AI,AI / ML / Data Science,"At Scale, our mission is to accelerate the development of AI applications. For 8 years, Scale has been the leading AI data foundry, helping fuel the most exciting advancements in AI, including: generative AI, defense applications, and autonomous vehicles. With our recent Series F round, we’re accelerating the abundance of frontier data to pave the road to Artificial General Intelligence (AGI), and building upon our prior model evaluation work with enterprise customers and governments, to deepen our capabilities and offerings for both public and private evaluations.Example Projects:Ship tools to accelerate the growth of new qualified contributors on Scale’s labeling platformBuild methodical fraud-detection systems to remove bad actors and keep Scale’s contributor base safe and trusted. Use models to estimate the quality of tasks and labelers, and guarantee quality on requests at large scale.Devise advanced matching algorithms to match labelers to customers for optimal turnaround and acc","C, Go, Rust, R",Lead/Principal (8+ yrs),Not Disclosed,San Francisco Bay Area,Onsite,2026-05-02,LinkedIn
"Software Engineer, New Grad",Profound,AI / ML / Data Science,"Profound is on a mission to help companies understand and control their AI presence. As a Software Engineer, you will architect and build high-performance applications that power AI-driven insights. You will work across the stack, from crafting sleek front-end experiences to optimizing back-end infrastructure, ensuring speed, scalability, and impact.What You’ll DoBuild and ship full-stack applications that help companies analyze and control their AI presenceDevelop and refine high-quality front-end interfaces using React and TypeScriptDesign and optimize back-end systems for performance, security, and scalabilityWork closely with design and product to translate ideas into production-ready experiencesOwn key technical decisions, ensuring maintainability and long-term impactWho You AreA strong portfolio or GitHub showcasing full-stack development expertise, with proficiency in React, TypeScript, Node.js, and modern front-end and back-end frameworksExperience designing and working with sc","C, TypeScript, Scala, R, React, Node, Git, ROS",Lead/Principal (8+ yrs),Not Disclosed,"New York, Ny",Onsite,2026-05-04,LinkedIn
"Software Engineer, Creator Sponsorships",Twitch,Core Engineering,"About UsTwitch is the world’s biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It is where thousands of communities come together for whatever, every day.We’re about community, inside and out. You’ll find coworkers who are eager to team up, collaborate, and smash (or elegantly solve) problems together. We’re on a quest to empower live communities, so if this sounds good to you, see what we’re up to on LinkedIn and X, and discover the projects we’re solving on our Blog. Be sure to explore our Interviewing Guide to learn how to ace our interview process.About The TeamTwitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.We're about community, inside and out. You'll find coworkers who are eager to team up, collaborate, and sma","C, Go, R, Unity",Not Specified,Not Disclosed,"San Francisco, Ca",Onsite,2026-04-30,LinkedIn
"Software Engineer, Enterprise",Notion,AI / ML / Data Science,"About UsNotion helps you build beautiful tools for your life’s work. In today's world of endless apps and tabs, Notion provides one place for teams to get everything done, seamlessly connecting docs, notes, projects, calendar, and email—with AI built in to find answers and automate work. Millions of users, from individuals to large organizations like Toyota, Figma, and OpenAI, love Notion for its flexibility and choose it because it helps them save time and money.In-person collaboration is essential to Notion's culture. We require all team members to work from our offices on Mondays, Tuesdays, and Thursdays, our designated Anchor Days. Certain teams or positions may require additional in-office workdays.About The RoleEngineers on the Enterprise Team support Notion’s largest customers, focusing on providing:Security features like SIEM, DLP, audit log, fine-grained access settingsIntegrations with customer personnel systems via IDP/SCIMScaling performance to serve large enterprise custom","C, R, SIEM",Not Specified,Not Disclosed,"New York, Ny",Onsite,2026-05-14,LinkedIn
